Restaurant,Price ($),Rating (out of 5)
Panda Noodle Bar,15,4.45
Taste of Xi'an,17,4.46
U:Don,13,4.38
Shawarma King,12,4.36
Samir's Mediterranean Grill,14,4.53
Cedars of Lebanon,16,4.53
Pho Shizzle,19,4.22
Thanh Vi,18,4.33
Sultan Gyros Grill,13,4.41
BB's Teriyaki Grill,11,3.99
Burger and Kabob Hut,10,4.31
Sizzle & Crunch,20,4.25
Little Thai Restaurant,18,4.31
Saigon Deli,12,4.62
Aladdin Gyro-Cery & Deli,9,4.58
The BoB,22,4.35
U DupBop Asian Fusion,18,4.47
Angkor Wok,25,4.51
Cheba Hut,15,4.79
Mr. Lu's Seafood & Burgers,14,4.54
Master Bing,16,4.84
Mee Sum,19,4.5
Bombay Express,17,4.37
